000;ADMINISTRAÇÃO GERAL;Esta classe contempla documentos referentes às atividades relacionadas à administração interna do órgão e entidade, que viabilizam o seu funcionamento e o alcance dos objetivos para os quais foram criados.
001;RELAÇÃO INTERINSTITUCIONAL;Incluem-se documentos referentes à formalização, execução e acompanhamento das relações entre o órgão e entidade e outros órgãos e entidades, públicos e privados, firmadas por meio de acordos, contratos, convênios, termos e outros atos de ajustes, que abranjam, ao mesmo tempo, a execução de várias atividades, bem como aqueles referentes à fiscalização, prestação e tomada de contas, relatórios técnicos e termos de aditamento. Quanto aos acordos, contratos, convênios, termos e outros atos de ajustes, referentes a uma única atividade, classificar no código específico.
002;ATENDIMENTO AO CIDADÃO;Nas subdivisões deste descritor classificam-se documentos referentes às solicitações de informações e às comunicações enviadas ao órgão e entidade pelos canais de atendimento ao cidadão, tais como: Serviço de Informações ao Cidadão (SIC), ouvidoria e outros canais de comunicação.
002.01;NORMATIZAÇÃO. REGULAMENTAÇÃO;Incluem-se documentos referentes às determinações legais, aos atos e instruções normativas, aos procedimentos operacionais e às decisões de caráter geral sobre o acesso à informação pública executado pelos canais de atendimento ao cidadão.
002.1;ACESSO À INFORMAÇÃO;Nas subdivisões deste descritor classificam-se documentos referentes aos pedidos de acesso à informação e aos documentos institucionais, encaminhados ao SIC, bem como os recursos impetrados em razão de negativa de acesso. Quanto aos elogios e reclamações recebidos pelas ouvidorias e por outros canais de comunicação, classificar no código 002.2. Quanto às comunicações eventuais trocadas entre o órgão e entidade e demais instituições, classificar no código 991.
002.11;PEDIDO DE ACESSO À INFORMAÇÃO E RECURSO;Incluem-se documentos referentes às solicitações, respostas e recursos referentes aos pedidos de acesso à informação, presenciais e não presenciais, realizados por intermédio do SIC, tais como: formulários com pedidos de acesso à informação e formulários de recursos. Quanto ao acesso e ao controle das consultas aos documentos arquivísticos, bibliográficos e museológicos, classificar no código 063.1.
002.12;ACOMPANHAMENTO DO ATENDIMENTO AO CIDADÃO;Incluem-se documentos referentes ao acompanhamento das atividades desempenhadas pelo SIC, tais como: relatórios estatísticos, de atendimento, de controle de consultas e de perfil do usuário.
002.2;CONTROLE DE SATISFAÇÃO DO USUÁRIO;Incluem-se documentos referentes à pesquisa de satisfação dos usuários dos serviços públicos, tais como: elogios e reclamações recebidos pelas ouvidorias e outros canais de comunicação. Quanto aos pedidos de acesso à informação e aos documentos institucionais, encaminhados ao SIC, classificar nas subdivisões do código 002.1. Quanto às comunicações eventuais trocadas entre o órgão e entidade e demais instituições, classificar no código 991.
003;CONTROLE E FISCALIZAÇÃO DA GESTÃO PÚBLICA;Nas subdivisões deste descritor classificam-se documentos referentes às ações de inspeção, correição, auditagem e controle interno a cargo do gestor, realizadas para verificação dos procedimentos internos do órgão e entidade com o objetivo de melhorar a gestão pública.
003.01;NORMATIZAÇÃO. REGULAMENTAÇÃO;Incluem-se documentos referentes às determinações legais, aos atos e instruções normativas, aos procedimentos operacionais e às decisões de caráter geral sobre as ações de inspeção, correição, auditagem e controle interno do órgão e entidade. Quanto ao controle externo e à auditoria externa, classificar nas subdivisões do código 054.
003.1;CONTROLE INTERNO. AUDITORIA INTERNA;Incluem-se documentos referentes à avaliação das ações executadas pelo órgão e entidade, da legalidade dos procedimentos e da atuação do gestor público.
003.2;AÇÃO PREVENTIVA;Incluem-se documentos referentes às ações implementadas por orientação dos órgãos fiscalizadores para prevenção da corrupção no órgão e entidade.
003.3;CORREIÇÃO;Incluem-se documentos referentes à fiscalização e apuração de responsabilidades realizada pelos órgãos fiscalizadores em caso de irregularidades cometidas no órgão e entidade.
004;ASSESSORAMENTO JURÍDICO;Nas subdivisões deste descritor classificam-se documentos referentes à análise jurídica de instrumentos e de atos normativos e ao acompanhamento de ações judiciais.
004.1;ORIENTAÇÃO TÉCNICA E NORMATIVA;Nas subdivisões deste descritor classificam-se documentos referentes à análise jurídica de instrumentos e de atos normativos elaborados pelo órgão e entidade.
004.11;UNIFORMIZAÇÃO DO ENTENDIMENTO JURÍDICO;Incluem-se documentos referentes à análise e à fixação de interpretação da Constituição, das leis, dos tratados e dos demais atos normativos, a serem seguidos, de modo uniforme, pelo órgão e entidade, quando não houver orientação normativa superior, tais como: instruções, pareceres e notas.
004.12;ANÁLISE DOS INSTRUMENTOS ADMINISTRATIVOS;Incluem-se documentos referentes ao exame e à análise prévia ou conclusiva de textos de editais de licitação, de contratos e de instrumentos congêneres a serem publicados e celebrados pelo órgão e entidade.
004.2;ATUAÇÃO EM CONTENCIOSO;Nas subdivisões deste descritor classificam-se documentos referentes à atuação contenciosa judicial e administrativa, nas hipóteses de contestação, conflito ou litígio, exercida pela assessoria ou consultoria jurídica do órgão e entidade.
004.21;REPRESENTAÇÃO EXTRAJUDICIAL;Incluem-se documentos referentes à solução extrajudicial dos litígios, visando à composição entre as partes em conflito de interesses, por meio de mediação, conciliação, arbitragem e demais técnicas de composição e administração de conflitos.
004.22;REPRESENTAÇÃO JUDICIAL;Incluem-se documentos referentes às ações defendidas pela assessoria ou consultoria jurídica em processos administrativos e judiciais, perante todas as instâncias, ordinárias ou extraordinárias, utilizando as medidas capazes de propiciar a efetiva defesa dos interesses do órgão e entidade.
005;PARTICIPAÇÃO EM ÓRGÃOS COLEGIADOS;Nas subdivisões deste descritor classificam-se documentos referentes à organização e ao funcionamento de comissões, conselhos, comitês, juntas e grupos de trabalho, criados pelo próprio órgão e entidade ou por outros órgãos de deliberação coletiva, que contem com a participação de servidores da instituição. Quanto à atuação de comissões, conselhos, comitês, juntas e grupos de trabalho referentes a uma atividade em particular, classificar no código específico.
005.1;CRIAÇÃO E ATUAÇÃO;Incluem-se documentos referentes à implantação dos órgãos colegiados e aos registros das deliberações e tomadas de decisão definidas nas reuniões, tais como: ato de instituição, regras para atuação, designação e substituição de membros, resoluções, atas e relatórios.
005.2;OPERACIONALIZAÇÃO DE REUNIÕES;Incluem-se documentos referentes à organização das reuniões dos órgãos colegiados, bem como aqueles referentes ao agendamento, convocação, pauta e lista de participantes.
010;ORGANIZAÇÃO E FUNCIONAMENTO;Esta subclasse contempla documentos referentes à definição e alteração das políticas institucionais, à criação e modificação das estruturas organizacionais e aos registros que garantam a existência do órgão e entidade como pessoa jurídica e a sua atuação no meio público, privado, com o terceiro setor e com o cidadão, bem como aqueles referentes ao planejamento e acompanhamento das ações institucionais, da gestão ambiental e da comunicação social.
010.01;NORMATIZAÇÃO. REGULAMENTAÇÃO;Incluem-se documentos referentes às determinações legais, aos atos e instruções normativas, aos procedimentos operacionais e às decisões de caráter geral sobre a organização e funcionamento do órgão e entidade, bem como os boletins administrativos e de serviço. Quanto aos boletins de pessoal, classificar no código 020.01. Quanto à publicação de matérias em diários oficiais e em periódicos de grande circulação, classificar no código 069.3.
011;ORGANIZAÇÃO ADMINISTRATIVA;Incluem-se documentos referentes aos estudos para a definição da estrutura e das atribuições do órgão e entidade e para as mudanças estratégicas (missão, finalidade e forma de atuação) e estruturais (hierarquia, distribuição formal de autoridade e responsabilidade, abertura ou encerramento de unidades administrativas), bem como aqueles resultantes da implantação de reformas administrativas ou de processos de modernização, com impacto no órgão e entidade, na forma de fusão, privatização, reestatização ou extinção.
012;HABILITAÇÃO JURÍDICA E REGULARIZAÇÃO FISCAL;Incluem-se documentos referentes à inscrição, baixa e cancelamento nos órgãos competentes, tais como: cadastro bancário, registros de inscrição no Cadastro Nacional de Pessoa Jurídica (CNPJ), no Sistema de Operações, Registro e Controle do Banco Central (Sisbacen), no Serviço de Proteção ao Crédito (SPC), no Cadastro Informativo de Créditos e não Quitados do Setor Público Federal (Cadin).
013;COORDENAÇÃO E GESTÃO DE REUNIÕES;Nas subdivisões deste descritor classificam-se documentos relativos às atividades necessárias para a realização de assembleias, audiências, despachos e reuniões, gerais e setoriais, do órgão e entidade, bem como aqueles referentes ao registro de suas deliberações. Quanto aos documentos de assembleias, audiências, despachos e reuniões produzidos pelas diferentes comissões instituídas no âmbito do órgão e entidade, classificar no código específico.
013.1;OPERACIONALIZAÇÃO;Incluem-se documentos referentes à organização das reuniões do órgão e entidade, bem como aqueles referentes ao agendamento, convocação, pauta e lista de participantes.
013.2;REGISTRO DE DELIBERAÇÕES;Incluem-se documentos referentes aos registros das deliberações e tomadas de decisão definidas nas assembleias, audiências, despachos e reuniões, tais como: resoluções, atas e relatórios.
014;PREENCHIMENTO DE FUNÇÃO DE DIREÇÃO;Nas subdivisões deste descritor classificam-se documentos referentes aos processos eletivos para preenchimento de função de direção prevista em legislação competente à área de atuação do órgão e entidade.
014.1;NOMEAÇÃO E ATUAÇÃO DA COMISSÃO ELEITORAL;Incluem-se documentos referentes à constituição e às atividades da comissão eleitoral, das mesas de votação e dos fiscais, tais como: indicação dos membros, regimento eleitoral, convocação, pauta, lista de participantes e registros e atas das reuniões.
014.2;INSCRIÇÃO;Incluem-se documentos referentes à definição do calendário eleitoral, à inscrição de candidatos para participação no processo eletivo e à divulgação das atividades eletivas e dos candidatos, tais como: cronograma, cópia de documentos pessoais dos inscritos ou integrantes das chapas concorrentes, propaganda eleitoral e pedidos de impugnação de candidatura.
014.3;VOTAÇÃO;Incluem-se documentos referentes à apuração do processo eletivo, tais como: relação de eleitores habilitados, cédulas de votação e contagem de votos.
