000;c;ADMINISTRAÇÃO GERAL;-;-;-;
000;s;ADMINISTRAÇÃO GERAL;-;-;-;
001;g;RELAÇÃO INTERINSTITUCIONAL;Enquanto vigora;20 anos;Guarda permanente;
002;g;ATENDIMENTO AO CIDADÃO;-;-;-;
002;z;ATENDIMENTO AO CIDADÃO;-;-;-;
002.01;m;NORMATIZAÇÃO. REGULAMENTAÇÃO;Enquanto vigora;5 anos;Guarda permanente;
002.1;z;ACESSO À INFORMAÇÃO;-;-;-;
002.11;m;PEDIDO DE ACESSO À INFORMAÇÃO E RECURSO;Até o término do atendimento*;5 anos;Eliminação;* Aguardar o resultado do provimento do recurso em última instância, no caso de indeferimento do pedido de acesso.
002.12;m;ACOMPANHAMENTO DO ATENDIMENTO AO CIDADÃO;2 anos;-;Guarda permanente;Eliminar, após 2 anos, os documentos cujas informações estejam recapituladas ou consolidadas em outros.
002.2;z;CONTROLE DE SATISFAÇÃO DO USUÁRIO;2 anos;-;Eliminação;
003;g;CONTROLE E FISCALIZAÇÃO DA GESTÃO PÚBLICA;-;-;-;Eliminar, após 2 anos, os documentos cujas informações estejam recapituladas ou consolidadas em outros.
003;z;CONTROLE E FISCALIZAÇÃO DA GESTÃO PÚBLICA;-;-;-;Eliminar, após 2 anos, os documentos cujas informações estejam recapituladas ou consolidadas em outros.
003.01;m;NORMATIZAÇÃO. REGULAMENTAÇÃO;Enquanto vigora;5 anos;Guarda permanente;
003.1;z;CONTROLE INTERNO. AUDITORIA INTERNA;5 anos;9 anos;Guarda permanente;
003.2;z;AÇÃO PREVENTIVA;5 anos;9 anos;Guarda permanente;
003.3;z;CORREIÇÃO;5 anos;9 anos;Guarda permanente;
004;g;ASSESSORAMENTO JURÍDICO;-;-;-;
004.1;z;ORIENTAÇÃO TÉCNICA E NORMATIVA;-;-;-;
004.11;m;UNIFORMIZAÇÃO DO ENTENDIMENTO JURÍDICO;Enquanto vigora;5 anos;Guarda permanente;
004.12;m;ANÁLISE DOS INSTRUMENTOS ADMINISTRATIVOS;Até o término da análise;5 anos;Eliminação;
004.2;z;ATUAÇÃO EM CONTENCIOSO;-;-;-;
004.21;m;REPRESENTAÇÃO EXTRAJUDICIAL;Até a solução do litígio;5 anos;Guarda permanente;
004.22;m;REPRESENTAÇÃO JUDICIAL;Até o trânsito em julgado;5 anos;Guarda permanente;
005;g;PARTICIPAÇÃO EM ÓRGÃOS COLEGIADOS;-;-;-;
005.1;z;CRIAÇÃO E ATUAÇÃO;4 anos;5 anos;Guarda permanente;
005.2;z;OPERACIONALIZAÇÃO DE REUNIÕES;2 anos;-;Eliminação;
010;s;ORGANIZAÇÃO E FUNCIONAMENTO;-;-;-;
010;g;ORGANIZAÇÃO E FUNCIONAMENTO;-;-;-;
010.01;z;NORMATIZAÇÃO. REGULAMENTAÇÃO;Enquanto vigora;5 anos;Guarda permanente;
011;g;ORGANIZAÇÃO ADMINISTRATIVA;Enquanto vigora;5 anos;Guarda permanente;Eliminar, após 2 anos, os estudos preliminares ou as versões não implementadas das mudanças estruturais.
012;g;HABILITAÇÃO JURÍDICA E REGULARIZAÇÃO FISCAL;Enquanto vigora;2 anos;Eliminação;
013;g;COORDENAÇÃO E GESTÃO DE REUNIÕES;-;-;-;
013.1;z;OPERACIONALIZAÇÃO;2 anos;-;Eliminação;
013.2;z;REGISTRO DE DELIBERAÇÕES;4 anos;5 anos;Guarda permanente;
014;g;PREENCHIMENTO DE FUNÇÃO DE DIREÇÃO;-;-;-;
014.1;z;NOMEAÇÃO E ATUAÇÃO DA COMISSÃO ELEITORAL;Até a homologação do evento;1 ano;Guarda permanente;
014.2;z;INSCRIÇÃO;Até a homologação do evento;1 ano;Eliminação;
014.3;z;VOTAÇÃO;Até a homologação do evento;1 ano;Guarda permanente;Eliminar, após 2 anos da homologação do evento, as cédulas de votação.
014.4;z;DIVULGAÇÃO DOS RESULTADOS E INTERPOSIÇÃO DE RECURSOS;Até a homologação do evento;1 ano;Guarda permanente;* Aguardar o término da ação, no caso de interposição de recursos. Eliminar, após 2 anos da homologação do evento, os documentos de recursos indeferidos.
015;g;GESTÃO INSTITUCIONAL;-;-;-;
015.1;z;PLANEJAMENTO INSTITUCIONAL;5 anos;9 anos;Guarda permanente;
015.2;z;ACOMPANHAMENTO DAS ATIVIDADES;5 anos;9 anos;Guarda permanente;Eliminar, após 2 anos, os documentos cujas informações encontram-se recapituladas ou consolidadas em outros.
015.3;z;AVALIAÇÃO DA GESTÃO INSTITUCIONAL;-;-;-;Eliminar, após 2 anos, os documentos cujas informações encontram-se recapituladas ou consolidadas em outros.
015.31;m;ELABORAÇÃO DOS INSTRUMENTOS DE AVALIAÇÃO;5 anos;9 anos;Guarda permanente;
015.32;m;EXECUÇÃO E ACOMPANHAMENTO;5 anos;9 anos;Guarda permanente;
015.33;m;CERTIFICAÇÃO DA CONFORMIDADE;5 anos;9 anos;Guarda permanente;
016;g;GESTÃO DE PROCESSOS;-;-;-;
016.1;z;PLANEJAMENTO DO MAPEAMENTO DE PROCESSOS;5 anos;9 anos;Guarda permanente;
016.2;z;EXECUÇÃO E ACOMPANHAMENTO;5 anos;9 anos;Eliminação;
016.3;z;RESULTADO;5 anos;9 anos;Guarda permanente;Eliminar, após 2 anos, os documentos cujas informações encontram-se recapituladas ou consolidadas em outros.
016.4;z;MODELAGEM DE PROCESSOS;5 anos;9 anos;Guarda permanente;
016.5;z;GERENCIAMENTO DE DESEMPENHO;5 anos;9 anos;Guarda permanente;Eliminar, após 2 anos, os documentos cujas informações encontram-se recapituladas ou consolidadas em outros.
017;g;GESTÃO AMBIENTAL;-;-;-;
017.1;z;PROTEÇÃO AMBIENTAL INTERNA;Enquanto vigora o evento;2 anos;Eliminação;Arquivar um exemplar do material de divulgação produzido para cada evento.
017.2;z;PROTEÇÃO AMBIENTAL EXTERNA;5 anos;9 anos;Guarda permanente;Eliminar, após 2 anos, os documentos cujas informações encontram-se recapituladas ou consolidadas em outros.
018;g;CONTRATAÇÃO DE PRESTAÇÃO DE SERVIÇOS;Até a aprovação das contas pelo Tribunal de Contas*;5 anos a contar da aprovação das contas pelo Tribunal de Contas**;Eliminação;* ou até a apresentação do Relatório de Gestão ** ou 10 anos a contar da apresentação do Relatório de Gestão. Eliminar, após 2 anos, os documentos referentes às contratações não efetivadas.
019;g;OUTRAS AÇÕES REFERENTES À ORGANIZAÇÃO E FUNCIONAMENTO;-;-;-;
019.1;z;COMUNICAÇÃO SOCIAL;-;-;-;
019.11;m;COMUNICAÇÃO EXTERNA;-;-;-;
019.111;n;CREDENCIAMENTO DE JORNALISTAS;Enquanto vigora;1 ano;Eliminação;
019.112;n;RELAÇÃO COM A IMPRENSA;1 ano;-;Eliminação;Arquivar os documentos cujas informações reflitam a política do órgão ou entidade.
019.113;n;ELABORAÇÃO DE CAMPANHAS PUBLICITÁRIAS;4 anos;10 anos;Guarda permanente
019.12;m;COMUNICAÇÃO INTERNA;2 anos;-;Eliminação;Arquivar os documentos cujas informações reflitam a política do órgão ou entidade.
019.2;z;AÇÃO DE RESPONSABILIDADE SOCIAL;5 anos;9 anos;Guarda permanente;Eliminar, após 2 anos, os documentos cujas informações encontram-se recapituladas ou consolidadas em outros.
020;s;GESTÃO DE PESSOAS;-;-;-;
020;g;GESTÃO DE PESSOAS;-;-;-;
020;z;GESTÃO DE PESSOAS;-;-;-;
020.01;m;NORMATIZAÇÃO. REGULAMENTAÇÃO;Enquanto vigora;5 anos;Guarda permanente;
020.02;m;IMPLEMENTAÇÃO DAS POLÍTICAS DE PESSOAL;-;-;-;
020.021;n;PLANEJAMENTO DA FORÇA DE TRABALHO. PREVISÃO DE PESSOAL;5 anos;5 anos;Guarda permanente;
020.022;n;CRIAÇÃO, EXTINÇÃO, CLASSIFICAÇÃO, TRANSFORMAÇÃO E TRANSPOSIÇÃO DE CARGOS E DE CARREIRAS;5 anos;5 anos;Guarda permanente;
020.03;m;RELACIONAMENTO COM ENTIDADES REPRESENTATIVAS DE CLASSES;-;-;-;
020.031;n;RELAÇÃO COM SINDICATOS;5 anos;5 anos;Guarda permanente;
020.032;n;MOVIMENTOS REIVINDICATÓRIOS. GREVES. PARALISAÇÕES;5 anos;5 anos;Guarda permanente;
020.033;n;RELAÇÃO COM CONSELHOS PROFISSIONAIS;2 anos;-;-;Eliminação
020.1;z;ASSENTAMENTO FUNCIONAL;-;-;-;
020.11;m;SERVIDORES E EMPREGADOS PÚBLICOS;Enquanto o servidor mantiver o vínculo com a administração pública;*;Eliminação;* Transferir os documentos para fase intermediária após o término do vínculo, sendo o prazo total de guarda dos documentos de 100 anos.
020.12;m;SERVIDORES TEMPORÁRIOS;Enquanto o servidor mantiver o vínculo com a administração pública;*;Eliminação;* Transferir os documentos para fase intermediária após o término do vínculo, sendo o prazo total de guarda dos documentos de 100 anos.
020.13;m;RESIDENTES E ESTAGIÁRIOS;Enquanto o servidor mantiver o vínculo com a administração pública;*;Eliminação;* Transferir os documentos para fase intermediária após o término do vínculo, sendo o prazo total de guarda dos documentos de 100 anos.
020.14;m;OCUPANTES DE CARGO COMISSIONADO E DE FUNÇÃO DE CONFIANÇA;Enquanto o servidor mantiver o vínculo com a administração pública;*;Eliminação;* Transferir os documentos para fase intermediária após o término do vínculo, sendo o prazo total de guarda dos documentos de 100 anos.
020.2;z;IDENTIFICAÇÃO FUNCIONAL;Enquanto o servidor mantiver o vínculo com a administração pública;-;Eliminação;
021;g;RECRUTAMENTO E SELEÇÃO;-;-;-;
021.1;z;PLANEJAMENTO DO PROCESSO SELETIVO;Até a homologação do evento;2 anos;Guarda permanente;
021.2;z;INSCRIÇÃO;Até a homologação do evento*;2 anos;Eliminação;* Aguardar o término da ação, no caso de interposição de recursos.
021.3;z;CONTROLE DE APLICAÇÃO DE PROVAS;Até a homologação do evento*;2 anos;Eliminação;* Aguardar o término da ação, no caso de interposição de recursos.
021.4;z;CORREÇÃO DE PROVAS. AVALIAÇÃO;Até a homologação do evento*;2 anos;Eliminação;* Aguardar o término da ação, no caso de interposição de recursos.
021.5;z;DIVULGAÇÃO DOS RESULTADOS E INTERPOSIÇÃO DE RECURSOS;Até a homologação do evento*;2 anos;Guarda permanente;* Aguardar o término da ação, no caso de interposição de recursos. Eliminar, após 2 anos da homologação do evento, os documentos de recursos indeferidos.
022;g;PROVIMENTO, MOVIMENTAÇÃO E VACÂNCIA;-;-;-;
022.1;z;PROVIMENTO DE CARGO PÚBLICO;5 anos;52 anos;Eliminação;
022.2;z;MOVIMENTAÇÃO DE PESSOAL;-;-;-;
022.21;m;LOTAÇÃO, EXERCÍCIO E PERMUTA;4 anos;5 anos;Eliminação;
022.22;m;CESSÃO. REQUISIÇÃO;5 anos;52 anos;Eliminação;
022.3;z;REMOÇÃO;4 anos;5 anos;Eliminação;
022.4;z;REDISTRIBUIÇÃO;5 anos;52 anos;Eliminação;
022.5;z;SUBSTITUIÇÃO;5 anos;52 anos;Eliminação;
022.6;z;AVALIAÇÃO DE DESEMPENHO;-;-;-;
022.61;m;CUMPRIMENTO DE ESTÁGIO PROBATÓRIO. HOMOLOGAÇÃO DA ESTABILIDADE;5 anos;52 anos;Eliminação;
022.62;m;CUMPRIMENTO DE PERÍODO DE EXPERIÊNCIA;5 anos;52 anos;Eliminação;
022.63;m;PROMOÇÃO E PROGRESSÃO FUNCIONAL;5 anos;52 anos;Eliminação;
022.7;z;VACÂNCIA;5 anos;52 anos;Eliminação;
023;g;CONCESSÃO DE DIREITOS E VANTAGENS;-;-;-;
023.1;z;PAGAMENTO DE VENCIMENTOS. REMUNERAÇÕES. SALÁRIOS. PROVENTOS;-;-;-;
023.11;m;FOLHAS DE PAGAMENTO;5 anos;95 anos;Eliminação;
023.12;m;REESTRUTURAÇÃO E ALTERAÇÃO SALARIAL;5 anos;52 anos;Eliminação;
023.13;m;ABONO PROVISÓRIO;7 anos;-;Eliminação;
023.14;m;ABONO DE PERMANÊNCIA EM SERVIÇO;Até a homologação da aposentadoria;-;Eliminação;
023.15;m;GRATIFICAÇÕES;-;-;-;
023.151;n;FUNÇÃO;5 anos;52 anos;Eliminação;
023.152;n;JETONS;7 anos;-;Eliminação;
023.153;n;CARGOS EM COMISSÃO;5 anos;52 anos;Eliminação;
023.154;n;NATALINA. DÉCIMO TERCEIRO SALÁRIO;7 anos;-;Eliminação;
023.155;n;DESEMPENHO;5 anos;52 anos;Eliminação;
023.156;n;ENCARGO DE CURSO E CONCURSO;7 anos;-;Eliminação;
023.157;n;TITULAÇÃO;5 anos;52 anos;Eliminação;
023.16;m;ADICIONAIS;-;-;-;
023.161;n;TEMPO DE SERVIÇO;5 anos;52 anos;Eliminação;
023.162;n;NOTURNO;5 anos;52 anos;Eliminação;
023.163;n;PERICULOSIDADE;5 anos;52 anos;Eliminação;
023.164;n;INSALUBRIDADE;5 anos;52 anos;Eliminação;
023.165;n;ATIVIDADE PENOSA;5 anos;52 anos;Eliminação;
023.166;n;SERVIÇO EXTRAORDINÁRIO. HORAS EXTRAS;5 anos;52 anos;Eliminação;
023.167;n;UM TERÇO DE FÉRIAS. ABONO PECUNIÁRIO;7 anos;-;Eliminação;
023.17;m;DESCONTOS;-;-;-;
023.171;n;CONTRIBUIÇÃO SINDICAL, ASSISTENCIAL E CONFEDERATIVA;7 anos;-;Eliminação;
023.172;n;CONTRIBUIÇÃO PARA O PLANO DE SEGURIDADE SOCIAL;5 anos;52 anos;Eliminação;
